host_material,co_catalyst,co_catalyst_wt_pct,glycerol_concentration_v_pct,light_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,ad_score,ad_label,pred_her_umol_g_h,pred_her_lower_umol_g_h,pred_her_upper_umol_g_h,ucb_her_umol_g_h,novelty_score
cu2o,ru,5.0,50.0,visible,0.5,8.116595049748707,6.500705422981268,9.732484676516146,9.732484676516146,2,Moderate Confidence,3348.5960978648955,664.6110047714467,16855.382990068374,16855.382990068374,0.35286383781120667
zns,cos2,5.0,30.0,uv,0.5,8.113135069739917,6.497245442972478,9.729024696507356,9.729024696507356,2,Moderate Confidence,3337.0265890054366,662.3119835785437,16797.161023406086,16797.161023406086,0.3256457976247432
v2o5,ni2p,5.0,50.0,visible,0.5,8.110952859994768,6.495063233227329,9.726842486762207,9.726842486762207,2,Moderate Confidence,3329.750256982183,660.8660759145912,16760.543880394413,16760.543880394413,0.34942531796654613
cu2o,ni2p,5.0,50.0,visible,0.5,8.110952859994768,6.495063233227329,9.726842486762207,9.726842486762207,2,Moderate Confidence,3329.750256982183,660.8660759145912,16760.543880394413,16760.543880394413,0.34942531796654613
ga2o3,ni2p,5.0,50.0,visible,0.5,8.110952859994768,6.495063233227329,9.726842486762207,9.726842486762207,2,Moderate Confidence,3329.750256982183,660.8660759145912,16760.543880394413,16760.543880394413,0.34942531796654613
zns,fes2,5.0,30.0,uv,0.5,8.110729270998165,6.494839644230726,9.726618897765604,9.726618897765604,2,Moderate Confidence,3329.0056211235847,660.7181064855765,16756.79660255734,16756.79660255734,0.33059238663274293
zns,ni2p,5.0,30.0,uv,0.5,8.110659578466455,6.494769951699016,9.726549205233894,9.726549205233894,2,Moderate Confidence,3328.7735526880524,660.6719912824185,16755.628749982,16755.628749982,0.32604764866779823
v2o5,mos2,5.0,50.0,visible,0.5,8.109923096184879,6.49403346941744,9.725812722952318,9.725812722952318,2,Moderate Confidence,3326.322136288013,660.1848609880575,16743.292333142508,16743.292333142508,0.3508641098373538
cu2o,mos2,5.0,50.0,visible,0.5,8.109923096184879,6.49403346941744,9.725812722952318,9.725812722952318,2,Moderate Confidence,3326.322136288013,660.1848609880575,16743.292333142508,16743.292333142508,0.3508641098373538
ga2o3,mos2,5.0,50.0,visible,0.5,8.109923096184879,6.49403346941744,9.725812722952318,9.725812722952318,2,Moderate Confidence,3326.322136288013,660.1848609880575,16743.292333142508,16743.292333142508,0.3508641098373538
zns,ru,2.0,50.0,visible,0.5,8.094949125338408,6.479059498570969,9.710838752105847,9.710838752105847,2,Moderate Confidence,3276.8700824361176,650.3580549222894,16494.43165411784,16494.43165411784,0.34746020916332143
zns,mos2,5.0,30.0,uv,0.5,8.08677630740779,6.470886680640351,9.70266593417523,9.70266593417523,2,Moderate Confidence,3250.1898220162548,645.0563187049144,16360.166902556111,16360.166902556111,0.3274643813171227
v2o5,cos2,5.0,50.0,visible,0.5,8.084946701699751,6.469057074932312,9.70083632846719,9.70083632846719,2,Moderate Confidence,3244.2468648519666,643.8753710402221,16330.259785659639,16330.259785659639,0.3490812588914611
cu2o,cos2,5.0,50.0,visible,0.5,8.084946701699751,6.469057074932312,9.70083632846719,9.70083632846719,2,Moderate Confidence,3244.2468648519666,643.8753710402221,16330.259785659639,16330.259785659639,0.3490812588914611
ga2o3,cos2,5.0,50.0,visible,0.5,8.084946701699751,6.469057074932312,9.70083632846719,9.70083632846719,2,Moderate Confidence,3244.2468648519666,643.8753710402221,16330.259785659639,16330.259785659639,0.3490812588914611
cu2o,fes2,5.0,50.0,visible,0.5,8.082777045104196,6.466887418336757,9.698666671871635,9.698666671871635,2,Moderate Confidence,3237.2134264195843,642.477729687296,16294.864971332958,16294.864971332958,0.3532465025883404
ga2o3,fes2,5.0,50.0,visible,0.5,8.082777045104196,6.466887418336757,9.698666671871635,9.698666671871635,2,Moderate Confidence,3237.2134264195843,642.477729687296,16294.864971332958,16294.864971332958,0.3532465025883404
v2o5,fes2,5.0,50.0,visible,0.5,8.082777045104196,6.466887418336757,9.698666671871635,9.698666671871635,2,Moderate Confidence,3237.2134264195843,642.477729687296,16294.864971332958,16294.864971332958,0.3532465025883404
moo3,au,3.0,10.0,uv,0.5,8.058062215959982,6.442172589192543,9.673951842727421,9.673951842727421,2,Moderate Confidence,3158.1624246593046,626.7692038911894,15897.05164623707,15897.05164623707,0.6073040699188597
fe2o3,au,3.0,10.0,visible,0.5,8.004855258337663,6.388965631570224,9.620744885105102,9.620744885105102,3,Moderate Confidence,2994.466500952703,594.2405631022914,15073.274359873994,15073.274359873994,0.5708209904452595
in2o3,au,3.0,10.0,visible,0.5,8.001299520780554,6.385409894013115,9.617189147547993,9.617189147547993,2,Moderate Confidence,2983.8343220352713,592.1278023140123,15019.769377597058,15019.769377597058,0.5060587527327062
wo3,au,3.0,10.0,visible,0.5,8.001104393942413,6.385214767174974,9.616994020709852,9.616994020709852,3,Moderate Confidence,2983.2519575709525,592.0120784521158,15016.838708297371,15016.838708297371,0.45264740804532116
moo3,pt,2.0,30.0,visible,0.5,7.998657238405299,6.38276761163786,9.614546865172738,9.614546865172738,2,Moderate Confidence,2975.957957285485,590.562659860451,14980.13265217918,14980.13265217918,0.33669873183166654
wo3,pd,2.0,20.0,visible,0.5,7.998423225017949,6.38253359825051,9.614312851785389,9.614312851785389,2,Moderate Confidence,2975.261390776026,590.4242424749798,14976.627276749306,14976.627276749306,0.3649774827097873
