host_material,co_catalyst,co_catalyst_wt_pct,glycerol_concentration_v_pct,light_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,novelty_score,pred_her_umol_g_h,ucb_her_umol_g_h
bivo4,wc,0.5,5.0,uv,2.0,7.002456520771259,6.502456520771259,7.502456520771259,7.502456520771259,0.15454950235220447,1098.3303720849149,1811.4893679830857
bivo4,ir,0.5,5.0,uv,2.0,7.001321241156048,6.501321241156048,7.501321241156048,7.501321241156048,0.1545946789092881,1097.0830328964523,1809.4328533312896
ga2o3,ir,0.5,5.0,uv,2.0,6.999409060709635,6.499409060709635,7.499409060709635,7.499409060709635,0.1953802284907491,1094.985306247533,1805.9742867851014
v2o5,ir,0.5,5.0,uv,2.0,6.999409060709635,6.499409060709635,7.499409060709635,7.499409060709635,0.1953802284907491,1094.985306247533,1805.9742867851014
cu2o,ir,0.5,5.0,uv,2.0,6.999409060709635,6.499409060709635,7.499409060709635,7.499409060709635,0.1953802284907491,1094.985306247533,1805.9742867851014
moo3,cu,0.5,5.0,uv,2.0,6.998935241108537,6.498935241108537,7.498935241108537,7.498935241108537,0.20716320140208294,1094.4661299345876,1805.118309754705
moo3,rgo,2.0,30.0,uv,2.0,6.995260812436473,6.495260812436473,7.495260812436473,7.495260812436473,0.3294930914268103,1090.4483039055917,1798.4940345187267
moo3,fes2,2.0,30.0,uv,2.0,6.995132264504008,6.495132264504008,7.495132264504008,7.495132264504008,0.32467329101393566,1090.3080095002033,1798.2627281484029
bi2wo6,pt,0.5,5.0,uv,2.0,6.9878019308595105,6.4878019308595105,7.4878019308595105,7.4878019308595105,0.1813401077090482,1082.33760622925,1785.1217547395242
bi2wo6,rh,0.5,5.0,uv,2.0,6.987215535514368,6.487215535514368,7.487215535514368,7.487215535514368,0.18160117273517848,1081.702528321302,1784.0746882841383
wo3,au,0.5,5.0,uv,2.0,6.985211649104656,6.485211649104656,7.485211649104656,7.485211649104656,0.171344737532571,1079.5350878166144,1780.5011830210829
in2o3,au,0.5,5.0,uv,2.0,6.981935198148402,6.481935198148402,7.481935198148402,7.481935198148402,0.21115258534502415,1076.0005611085444,1774.6737336556303
fe2o3,pt,0.5,5.0,uv,2.0,6.970792596951019,6.470792596951019,7.470792596951019,7.470792596951019,0.20330190515896585,1064.0665846113538,1754.9979327606768
fe2o3,rh,0.5,5.0,uv,2.0,6.9656771849882935,6.4656771849882935,7.4656771849882935,7.4656771849882935,0.20355377043280876,1058.6322415652794,1746.0382157883328
srtio3,pd,0.5,5.0,uv,2.0,6.964694178712274,6.464694178712274,7.464694178712274,7.464694178712274,0.5207532449229216,1057.5911282158622,1744.3217100639388
cu2o,wc,0.5,5.0,uv,2.0,6.964350309489584,6.464350309489584,7.464350309489584,7.464350309489584,0.19533804796649165,1057.2271738873883,1743.7216508210204
v2o5,wc,0.5,5.0,uv,2.0,6.964350309489584,6.464350309489584,7.464350309489584,7.464350309489584,0.19533804796649165,1057.2271738873883,1743.7216508210204
ga2o3,wc,0.5,5.0,uv,2.0,6.964350309489584,6.464350309489584,7.464350309489584,7.464350309489584,0.19533804796649165,1057.2271738873883,1743.7216508210204
bi2wo6,wc,0.5,5.0,uv,2.0,6.959704843309696,6.459704843309696,7.459704843309696,7.459704843309696,0.1813900460162389,1052.3226161392017,1735.6354021382078
bi2wo6,ir,0.5,5.0,uv,2.0,6.956803759898127,6.456803759898127,7.456803759898127,7.456803759898127,0.181433205314243,1049.271267618862,1730.6045789284049
bivo4,pd,0.5,5.0,uv,2.0,6.954995495732898,6.454995495732898,7.454995495732898,7.454995495732898,0.15454364502542556,1047.373815785961,1727.4762097313717
v2o5,pd,0.5,5.0,uv,2.0,6.953083315286484,6.453083315286484,7.453083315286484,7.453083315286484,0.19533257911884513,1045.3710513086676,1724.1742093374553
ga2o3,pd,0.5,5.0,uv,2.0,6.953083315286484,6.453083315286484,7.453083315286484,7.453083315286484,0.19533257911884513,1045.3710513086676,1724.1742093374553
cu2o,pd,0.5,5.0,uv,2.0,6.953083315286484,6.453083315286484,7.453083315286484,7.453083315286484,0.19533257911884513,1045.3710513086676,1724.1742093374553
bi2wo6,cu,0.5,5.0,uv,2.0,6.950637788925071,6.450637788925071,7.450637788925071,7.450637788925071,0.18267189989553226,1042.8152497327048,1719.9604049154766
fe2o3,ir,0.5,5.0,uv,2.0,6.947982485002488,6.447982485002488,7.447982485002488,7.447982485002488,0.2033917211995798,1040.0472795330318,1715.3967935706114
wo3,pt,0.5,5.0,uv,2.0,6.938954840291581,6.438954840291581,7.438954840291581,7.438954840291581,0.1710650208836794,1030.691369025026,1699.9715049092956
srtio3,ru,0.5,5.0,uv,2.0,6.937655985644482,6.437655985644482,7.437655985644482,7.437655985644482,0.5209039454958799,1029.3522217630823,1697.7636243339293
in2o3,pt,0.5,5.0,uv,2.0,6.935678389335327,6.435678389335327,7.435678389335327,7.435678389335327,0.21089052797673297,1027.3166144803376,1694.407475308076
wo3,rh,0.5,5.0,uv,2.0,6.9334814834535665,6.4334814834535665,7.4334814834535665,7.4334814834535665,0.1713306248563127,1025.0599793767576,1690.6869130125951
fe2o3,wc,0.5,5.0,uv,2.0,6.9315340221542945,6.4315340221542945,7.4315340221542945,7.4315340221542945,0.2033500830886246,1023.0637117340993,1687.395624088134
in2o3,rh,0.5,5.0,uv,2.0,6.930205032497312,6.430205032497312,7.430205032497312,7.430205032497312,0.21113936327748647,1021.7036456102003,1685.153254140103
bivo4,ru,0.5,5.0,uv,2.0,6.927957302665105,6.427957302665105,7.427957302665105,7.427957302665105,0.1547904245333143,1019.4074656792671,1681.3674934466187
v2o5,ru,0.5,5.0,uv,2.0,6.926045122218692,6.426045122218692,7.426045122218692,7.426045122218692,0.19556299751112666,1017.4581268138221,1678.153576995357
